Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1929,204.7,1.8,149.6,1176.3,2232.7,2689.4,1988.8,1306.8,998.7,293.6,15.5,15.7
1930,20.6,50.5,211.8,550.9,454.2,3141.0,982.5,2447.0,638.8,435.6,348.2,0.0
1931,1.3,34.5,33.3,1472.4,1140.2,3534.9,4022.6,685.0,969.8,130.0,16.5,4.3
1932,8.6,52.6,33.3,335.5,2991.4,2803.4,1706.9,3096.3,866.4,180.3,2.3,
1933,2.3,16.8,26.7,703.6,717.3,2382.3,1694.4,1916.2,555.2,90.2,0.5,0.0
1934,27.2,98.8,27.9,1121.7,1198.6,4522.7,2967.2,1394.0,886.5,1338.3,30.7,7.4
1935,2.0,35.8,95.5,253.2,1515.6,3651.8,1502.7,3450.3,1269.2,22.4,3.3,0.0
1936,18.3,64.5,163.8,548.9,1464.1,1829.8,2657.9,1194.6,1443.0,891.3,7.4,35.6
1937,0.0,44.5,16.3,180.6,1517.9,2163.8,2183.4,1961.6,479.6,194.1,0.0,2.8
1938,41.9,7.6,459.2,569.5,927.1,3858.3,2820.2,2541.5,2406.9,218.4,94.0,0.0
1939,0.0,29.7,16.3,705.1,956.3,3495.3,2567.4,1209.3,1447.0,530.9,0.0,0.3
1940,0.0,77.0,223.0,87.4,1162.8,2150.1,2102.9,1367.5,2086.1,373.1,5.3,0.0
1941,0.0,79.5,238.3,684.5,1591.8,2777.7,2370.8,1373.1,1687.1,502.9,11.7,2.5
1942,29.2,34.0,401.3,306.1,1500.6,3718.3,930.1,1112.3,1576.6,16.3,18.3,0.0
1943,93.7,54.1,314.2,572.5,1593.6,2507.2,2073.7,1418.8,1681.2,61.2,1.0,1.5
1944,59.4,15.7,124.5,307.3,3233.4,1546.6,1241.8,1077.7,1612.1,248.9,2.0,0.0
1945,53.8,48.8,347.7,299.5,897.6,2053.3,2497.6,2601.5,647.4,571.2,0.0,0.0
1946,0.0,37.1,222.8,437.4,1098.6,2339.8,3123.9,1648.7,1232.7,1435.1,10.2,0.0
1947,0.5,2.0,111.0,1201.4,1622.0,2471.7,3399.5,1056.1,1136.1,643.6,0.0,1.3
1948,0.0,36.3,37.6,817.4,3278.1,3082.0,3329.7,1813.6,1074.9,652.0,89.4,0.0
1949,13.7,34.8,76.7,1116.8,1306.8,3567.9,2371.1,1928.9,1881.9,170.9,7.1,0.0
1950,5.1,105.7,210.1,507.7,1065.0,3137.4,1822.5,2498.1,281.4,286.8,215.9,0.0
1951,1.0,0.0,195.0,362.0,1784.0,3498.0,4563.0,2546.0,1448.0,1258.0,40.0,11.0
1952,7.0,0.0,192.0,390.0,1315.0,1508.0,3337.0,2014.0,1242.0,881.0,187.0,0.0
1953,15.0,7.0,759.0,765.0,1992.0,2230.0,2987.0,1226.0,2073.0,331.0,15.0,0.0
1954,11.0,133.0,8.0,593.0,2827.0,4295.0,4123.0,1134.0,357.0,0.0,41.0,
1955,17.0,24.0,383.0,707.0,1123.0,2424.0,3013.0,1722.0,1337.0,359.0,223.0,3.0
1956,23.0,2.0,231.0,388.0,2910.0,5689.0,1710.0,1875.0,608.0,264.0,79.0,5.0
1957,104.0,31.0,37.0,726.0,2491.0,2172.0,1885.0,1345.0,679.0,89.0,2.0,0.0
1958,21.0,98.0,27.0,782.0,2219.0,1367.0,975.0,3482.0,1227.0,338.0,12.0,24.0
